first,second,third
disentangle,disentangled,disentangled
disestablish,disestablished,disestablished
disfigure,disfigured,disfigured
disgorge,disgorged,disgorged
disgrace,disgraced,disgraced
disguise,disguised,disguised
disgust,disgusted,disgusted
dish,dished,dished
dishearten,disheartened,disheartened
dishevel,disheveled,disheveled
dishonor,dishonored,dishonored
disillusion,disillusioned,disillusioned
disincline,disinclined,disinclined
disinfect,disinfected,disinfected
disinherit,disinherited,disinherited
disintegrate,disintegrated,disintegrated
disinter,disinterred,disinterred
disjoin,disjoined,disjoined
disjoint,disjointed,disjointed
dislocate,dislocated,dislocated
dislodge,dislodged,dislodged
dismantle,dismantled,dismantled
dismay,dismayed,dismayed
dismember,dismembered,dismembered
dismiss,dismissed,dismissed
dismount,dismounted,dismounted
disobey,disobeyed,disobeyed
disoblige,disobliged,disobliged
disorder,disordered,disordered
disorganize,disorganized,disorganized
disown,disowned,disowned
disparage,disparaged,disparaged
dispatch,dispatched,dispatched
dispel,dispelled,dispelled
dispense,dispensed,dispensed
disperse,dispersed,dispersed
dispirit,dispirited,dispirited
displace,displaced,displaced
display,displayed,displayed
displease,displeased,displeased
disport,disported,disported
dispose,disposed,disposed
dispossess,dispossessed,dispossessed
disprove,disproved,disproved
dispute,disputed,disputed
disqualify,disqualified,disqualified
disquiet,disquieted,disquieted
disregard,disregarded,disregarded
disrespect,disrespected,disrespected
disrobe,disrobed,disrobed
disrupt,disrupted,disrupted
dissatisfy,dissatisfied,dissatisfied
dissect,dissected,dissected
dissemble,dissembled,dissembled
disseminate,disseminated,disseminated
dissent,dissented,dissented
dissipate,dissipated,dissipated
dissociate,dissociated,dissociated
dissolve,dissolved,dissolved
dissuade,dissuaded,dissuaded
distance,distanced,distanced
distend,distended,distended
distill,distilled,distilled
distinguish,distinguished,distinguished
distort,distorted,distorted
distract,distracted,distracted
distress,distressed,distressed
distribute,distributed,distributed
distrust,distrusted,distrusted
disturb,disturbed,disturbed
disunite,disunited,disunited
ditch,ditched,ditched
dive,dived/dove,dived
diverge,diverged,diverged
diversify,diversified,diversified
divert,diverted,diverted
divest,divested,divested
divulge,divulged,divulged
dock,docked,docked
doctor,doctored,doctored
document,documented,documented
dodge,dodged,dodged
doff,doffed,doffed
dog,dogged,dogged
dole,doled,doled
domesticate,domesticated,domesticated
dominate,dominated,dominated
don,donned,donned
donate,donated,donated
doom,doomed,doomed
dope,doped,doped
dote,doted,doted
double-check,double-checked,double-checked
down,downed,downed
downgrade,downgraded,downgraded
download,downloaded,downloaded
downplay,downplayed,downplayed
downsize,downsized,downsized
doze,dozed,dozed
draft,drafted,drafted
drape,draped,draped
dribble,dribbled,dribbled
drift,drifted,drifted
drill,drilled,drilled
drip,dripped,dripped
drivel,drivelled,drivelled
drizzle,drizzled,drizzled
drone,droned,droned
drool,drooled,drooled
droop,drooped,drooped
drop,dropped,dropped
drown,drowned,drowned
drowse,drowsed,drowsed
drub,drubbed,drubbed
drudge,drudged,drudged
drug,drugged,drugged
dub,dubbed,dubbed
duck,ducked,ducked
duel,dueled,dueled
dull,dulled,dulled
dumbfound,dumbfounded,dumbfounded
dump,dumped,dumped
dunk,dunked,dunked
dupe,duped,duped
duplicate,duplicated,duplicated
dwarf,dwarfed,dwarfed
dye,dyed,dyed
dynamite,dynamited,dynamited
earmark,earmarked,earmarked
ease,eased,eased
echo,echoed,echoed
eclipse,eclipsed,eclipsed
economize,economized,economized
eddy,eddied,eddied
edit,edited,edited
efface,effaced,effaced
effect,effected,effected
eject,ejected,ejected
elaborate,elaborated,elaborated
elapse,elapsed,elapsed
elate,elated,elated
elbow,elbowed,elbowed
elect,elected,elected
electrify,electrified,electrified
electrocute,electrocuted,electrocuted
elevate,elevated,elevated
elicit,elicited,elicited
eliminate,eliminated,eliminated
elongate,elongated,elongated
elope,eloped,eloped
elucidate,elucidated,elucidated
elude,eluded,eluded
emaciate,emaciated,emaciated
emanate,emanated,emanated
emancipate,emancipated,emancipated
emasculate,emasculated,emasculated
embalm,embalmed,embalmed
embank,embanked,embanked
embargo,embargoed,embargoed
embark,embarked,embarked
embed,embedded,embedded
embellish,embellished,embellished
embezzle,embezzled,embezzled
embitter,embittered,embittered
emblazon,emblazoned,emblazoned
embody,embodied,embodied
embolden,emboldened,emboldened
emboss,embossed,embossed
embrace,embraced,embraced
embroider,embroidered,embroidered
embroil,embroiled,embroiled
emend,emended,emended
emerge,emerged,emerged
emigrate,emigrated,emigrated
emit,emitted,emitted
emote,emoted,emoted
emphasize,emphasized,emphasized
empower,empowered,empowered
emulate,emulated,emulated
emulsify,emulsified,emulsified
enable,enabled,enabled
enact,enacted,enacted
enamel,enameled,enameled
encapsulate,encapsulated,encapsulated
encase,encased,encased
enchain,enchained,enchained
enchant,enchanted,enchanted
encircle,encircled,encircled
enclose,enclosed,enclosed
encode,encoded,encoded
encompass,encompassed,encompassed
encounter,encountered,encountered
encroach,encroached,encroached
encrust,encrusted,encrusted
encrypt,encrypted,encrypted
encumber,encumbered,encumbered
endanger,endangered,endangered
endear,endeared,endeared
endeavor,endeavored,endeavored
endorse,endorsed,endorsed
endow,endowed,endowed
endure,endured,endured
energize,energized,energized
enervate,enervated,enervated
enfeeble,enfeebled,enfeebled
enfold,enfolded,enfolded
enforce,enforced,enforced
enfranchise,enfranchised,enfranchised
engage,engaged,engaged
engender,engendered,engendered
engineer,engineered,engineered
engrave,engraved,engraved
engross,engrossed,engrossed
engulf,engulfed,engulfed
enhance,enhanced,enhanced
enjoin,enjoined,enjoined
enlarge,enlarged,enlarged
enlighten,enlightened,enlightened
enlist,enlisted,enlisted
enliven,enlivened,enlivened
enmesh,enmeshed,enmeshed
ennoble,ennobled,ennobled
enrage,enraged,enraged
enrapture,enraptured,enraptured
enrich,enriched,enriched
enroll,enrolled,enrolled
ensconce,ensconced,ensconced
enshrine,enshrined,enshrined
enshroud,enshrouded,enshrouded
enslave,enslaved,enslaved
ensnare,ensnared,ensnared
ensue,ensued,ensued
ensure,ensured,ensured
entail,entailed,entailed
entangle,entangled,entangled
enthrall,enthralled,enthralled
enthrone,enthroned,enthroned
enthuse,enthused,enthused
entice,enticed,enticed
entitle,entitled,entitled
entomb,entombed,entombed
entrap,entrapped,entrapped
entreat,entreated,entreated
entrench,entrenched,entrenched
entrust,entrusted,entrusted
entwine,entwined,entwined
enumerate,enumerated,enumerated
enunciate,enunciated,enunciated
envelop,enveloped,enveloped
envy,envied,envied
epitomize,epitomized,epitomized
equal,equaled,equaled
equalize,equalized,equalized
equate,equated,equated
equip,equipped,equipped
equivocate,equivocated,equivocated
eradicate,eradicated,eradicated
erase,erased,erased
erect,erected,erected
erode,eroded,eroded
err,erred,erred
erupt,erupted,erupted
escalate,escalated,escalated
espouse,espoused,espoused
espy,espied,espied
essay,essayed,essayed
establish,established,established
esteem,esteemed,esteemed
estimate,estimated,estimated
estrange,estranged,estranged
etch,etched,etched
evacuate,evacuated,evacuated
evade,evaded,evaded
evaluate,evaluated,evaluated
evaporate,evaporated,evaporated
even,evened,evened
evict,evicted,evicted
evidence,evidenced,evidenced
evince,evinced,evinced
eviscerate,eviscerated,eviscerated
evoke,evoked,evoked
evolve,evolved,evolved
exacerbate,exacerbated,exacerbated
exact,exacted,exacted
exaggerate,exaggerated,exaggerated
exalt,exalted,exalted
exasperate,exasperated,exasperated
excavate,excavated,excavated
exceed,exceeded,exceeded
excel,excelled,excelled
except,excepted,excepted
excerpt,excerpted,excerpted
exchange,exchanged,exchanged
excise,excised,excised
exclaim,exclaimed,exclaimed
exclude,excluded,excluded
excommunicate,excommunicated,excommunicated
excoriate,excoriated,excoriated
excrete,excreted,excreted
exculpate,exculpated,exculpated
execute,executed,executed
exemplify,exemplified,exemplified
exempt,exempted,exempted
exert,exerted,exerted
exhale,exhaled,exhaled
exhaust,exhausted,exhausted
exhibit,exhibited,exhibited
exhilarate,exhilarated,exhilarated
exhort,exhorted,exhorted
exhume,exhumed,exhumed
exile,exiled,exiled
exonerate,exonerated,exonerated
exorcise,exorcised,exorcised
expatiate,expatiated,expatiated
expatriate,expatriated,expatriated
expedite,expedited,expedited
expel,expelled,expelled
expend,expended,expended
experience,experienced,experienced
experiment,experimented,experimented
expiate,expiated,expiated
expire,expired,expired
explicate,explicated,explicated
exploit,exploited,exploited
explore,explored,explored
export,exported,exported
expose,exposed,exposed
expostulate,expostulated,expostulated
expound,expounded,expounded
express,expressed,expressed
expropriate,expropriated,expropriated
expunge,expunged,expunged
expurgate,expurgated,expurgated
exterminate,exterminated,exterminated
extinguish,extinguished,extinguished
extirpate,extirpated,extirpated
extol,extolled,extolled
extort,extorted,extorted
extract,extracted,extracted
extradite,extradited,extradited
extrapolate,extrapolated,extrapolated
extricate,extricated,extricated
exude,exuded,exuded
exult,exulted,exulted
eye,eyed,eyed
fabricate,fabricated,fabricated
facilitate,facilitated,facilitated
falsify,falsified,falsified
falter,faltered,faltered
famine,famined,famined
famish,famished,famished
fantasize,fantasized,fantasized
farm,farmed,farmed
fascinate,fascinated,fascinated
fashion,fashioned,fashioned
father,fathered,fathered
fathom,fathomed,fathomed
fatigue,fatigued,fatigued
fault,faulted,faulted
favor,favored,favored
fawn,fawned,fawned
feather,feathered,feathered
feature,featured,featured
federalize,federalized,federalized
federate,federated,federated
feign,feigned,feigned
feint,feinted,feinted
felicitate,felicitated,felicitated
feminize,feminized,feminized
ferment,fermented,fermented
ferret,ferreted,ferreted
ferry,ferried,ferried
fertilize,fertilized,fertilized
fester,festered,festered
festoon,festooned,festooned
fete,feted,feted
fetter,fettered,fettered
feud,feuded,feuded
fidget,fidgeted,fidgeted
figure,figured,figured
filch,filched,filched
filibuster,filibustered,filibustered
filigree,filigreed,filigreed
filter,filtered,filtered
finalize,finalized,finalized
finance,financed,financed
finger,fingered,fingered
finish,finished,finished
fish,fished,fished
fishtail,fishtailed,fishtailed
fission,fissioned,fissioned
fixate,fixated,fixated
flag,flagged,flagged
flail,flailed,flailed
flake,flaked,flaked
flank,flanked,flanked
flare,flared,flared
flatten,flattened,flattened
flatter,flattered,flattered
flaunt,flaunted,flaunted
flavor,flavored,flavored
flay,flayed,flayed
fleck,flecked,flecked
fledge,fledged,fledged
fleece,fleeced,fleeced
flex,flexed,flexed
flick,flicked,flicked
flicker,flickered,flickered
flinch,flinched,flinched
flip,flipped,flipped
flirt,flirted,flirted
flit,flitted,flitted
flock,flocked,flocked
flog,flogged,flogged
flounce,flounced,flounced
flounder,floundered,floundered
flourish,flourished,flourished
flout,flouted,flouted
fluctuate,fluctuated,fluctuated
fluff,fluffed,fluffed
flunk,flunked,flunked
flush,flushed,flushed
fluster,flustered,flustered
flutter,fluttered,fluttered
fly,flew,flown
foal,foaled,foaled
foam,foamed,foamed
fob,fobbed,fobbed
focus,focused,focused
foil,foiled,foiled
foist,foisted,foisted
foment,fomented,foment
fondle,fondled,fondled
foot,footed,footed
forage,foraged,foraged
ford,forded,forded
forecast,forecast/forecasted,forecast/forecasted
foreclose,foreclosed,foreclosed
forego,forewent,foregone
foreknow,foreknew,foreknown
foreordain,foreordained,foreordained
foresee,foresaw,foreseen
foreshadow,foreshadowed,foreshadowed
foreshorten,foreshortened,foreshortened
forestall,forestalled,forestalled
foretell,foretold,foretold
forewarn,forewarned,forewarned
forfeit,forfeited,forfeited
forge,forged,forged
formalize,formalized,formalized
format,formatted,formatted
formulate,formulated,formulated
fortify,fortified,fortified
forward,forwarded,forwarded
fossilize,fossilized,fossilized
foster,fostered,foster
foul,fouled,fouled
founder,foundered,foundered
fracture,fractured,fractured
fragment,fragmented,fragmented
franchise,franchised,franchised
fraternize,fraternized,fraternized
fray,frayed,frayed
free,freed,freed
freelance,freelanced,freelanced
frequent,frequented,frequented
freshen,freshened,freshened
fret,fretted,fretted
fritter,frittered,frittered
frivol,frivoled,frivoled
frolic,frolicked,frolicked
front,fronted,fronted
frost,frosted,frosted
froth,frothed,frovthed
frown,frowned,frowned
frustrate,frustrated,frustrated
fudge,fudged,fudged
fuel,fueled,fueled
fulfill,fulfilled,fulfilled
fumble,fumbled,fumbled
fume,fumed,fumed
fumigate,fumigated,fumigated
function,functioned,functioned
fund,funded,funded
funk,funked,funked
funnel,funneled,funneled
furbish,furbished,furbished
furnish,furnished,furnished
furrow,furrowed,furrowed
further,furthered,furthered
fuse,fused,fused
fuss,fussed,fussed
gab,gabbed,gabbed
gabble,gabbled,gabbled
gag,gagged,gagged
gage,gaged,gaged
gain,gained,gained
gainsay,gainsaid,gainsaid
gall,galled,galled
gallop,galloped,galloped
galvanize,galvanized,galvanized
gamble,gambled,gambled
gambol,gamboled,gamboled
gang,ganged,ganged
gape,gaped,gaped
garble,garbled,garbled
garden,gardened,gardened
gargle,gargled,gargled
garland,garlanded,garlanded
garner,garnered,garnered
garnish,garnished,garnished
garrison,garrisoned,garrisoned
gas,gassed,gassed
gash,gashed,gashed
gasp,gasped,gasped
gate,gated,gated
gauge,gauged,gauged
gawk,gawked,gawked
gaze,gazed,gazed
gear,geared,geared
geld,gelded,gelded
generalize,generalized,generalized
generate,generated,generated
germinate,germinated,germinated
gestate,gestated,gestated
gesticulate,gesticulated,gesticulated
gesture,gestured,gestured
ghostwrite,ghostwrote,ghostwritten
gibber,gibbered,gibbered
giggle,giggled,giggled
gild,gilded,gilded
ginger,gingered,gingered
gird,girt,girt
girdle,girdled,girdled
give,gave,given
glaciate,glaciated,glaciated
gladden,gladdened,gladdened
glamorize,glamorized,glamorized
glance,glanced,glanced
glare,glared,glared
glaze,glazed,glazed
gleam,gleamed,gleamed
glean,gleaned,gleaned
glide,glided,glided
glimmer,glimmered,glimmered
glimpse,glimpsed,glimpsed
glint,glinted,glinted
glisten,glistened,glistened
glitter,glittered,glittered
gloat,gloated,gloated
glorify,glorified,glorified
glory,gloried,gloried
gloss,glossed,glossed
gnash,gnashed,gnashed
gnaw,gnawed,gnawed
goad,goaded,goaded
gobble,gobbled,gobbled
goggle,gogled,gogled
goof,goofed,goofed
gorge,gorged,gorged
gossip,gossiped,gossiped
gouge,gouged,gouged
govern,governed,governed
grabble,grabbled,grabbled
grace,graced,graced
grade,graded,graded
graduate,graduated,graduated
graft,grafted,grafted
grant,granted,granted
grapple,grappled,grappled
grasp,grasped,grasped
graze,grazed,grazed
grieve,grieved,grieved
grill,grilled,grilled
grimace,grimaced,grimaced
grip,gripped,gripped
gripe,griped,griped
grit,gritted,gritted
groan,groaned,groaned
groom,groomed,groomed
groove,grooved,grooved
grope,groped,groped
gross,grossed,grossed
grouch,grouched,grouched
ground,grounded,grounded
group,grouped,grouped
grovel,groveled,groveled
grub,grubbed,grubbed
grudge,grudged,grudged
grumble,grumbled,grumbled
grunt,grunted,grunted
guffaw,guffawed,guffawed
gulp,gulped,gulped
gum,gummed,gummed
gush,gushed,gushed
guzzle,guzzled,guzzled
gyrate,gyrated,gyrated
hack,hacked,hacked
haggle,haggled,haggled
hail,hailed,hailed
hallucinate,hallucinated,hallucinated
halt,halted,halted
halve,halved,halved
hamper,hampered,hampered
handcuff,handcuffed,handcuffed
handicap,handicapped,handicapped
handwrite,handwrote,handwritten
hanker,hankered,hankered
happen,happened,happened
harangue,harangued,harangued
harden,hardened,hardened
hark,harked,harked
harness,harnessed,harnessed
harrow,harrowed,harrowed
harry,harried,harried
harvest,harvested,harvested
hasten,hastened,hastened
hatch,hatched,hatched
hawk,hawked,hawked
hazard,hazarded,hazarded
haze,hazed,hazed
headbutt,headbutted,headbutted
headline,headlined,headlined
hearken,hearkened,hearkened
heave,hove,hove
heckle,heckled,heckled
hedge,hedged,hedged
heed,heeded,heed
heighten,heightened,heightened
helm,helmed,helmed
herald,heralded,heralded
herd,herded,herded
hesitate,hesitated,hesitated
hibernate,hibernated,hibernated
hiccup,hiccuped,hiccuped
hike,hiked,hiked
hinder,hindered,hindered
hinge,hinged,hinged
hint,hinted,hinted
hire,hired,hired
hiss,hissed,hissed
hitch,hitched,hitched
hitchhike,hitchhiked,hitchhiked
hoard,hoarded,hoarded
hobble,hobbled,hobbled
hock,hocked,hocked
hoe,hoed,hoed
hoist,hoisted,hoisted
hollow,hollowed,hollowed
hone,honed,honed
hoodwink,hoodwinked,hoodwinked
hoot,hooted,hooted
hop,hopped,hopped
horsewhip,horsewhipped,horsewhipped
hose,hosed,hosed
hospitalize,hospitalized,hospitalized
host,hosted,hosted
hound,hounded,hound
house,housed,housed
huddle,huddled,huddled
huff,huffed,huffed
humbug,humbugged,humbugged
humiliate,humiliated,humiliated
hunch,hunched,hunched
hurl,hurled,hurled
hush,hushed,hushed
hustle,hustled,hustled
hybridize,hybridized,hybridized
hyphenate,hyphenated,hyphenated
hypnotize,hypnotized,hypnotized
idealize,idealized,idealized
idolize,idolized,idolized
ignite,ignited,ignited
illuminate,illuminated,illuminated
illustrate,illustrated,illustrated
imbibe,imbibed,imbibed
imitate,imitated,imitated
immerse,immersed,immersed
immigrate,immigrated,immigrated
immobilize,immobilized,immobilized
immolate,immolated,immolated
immortalize,immortalized,immortalized
immunize,immunized,immunized
immure,immured,immured
impair,impaired,impaired
impale,impaled,impaled
impart,imparted,imparted
impeach,impeached,impeached
impede,impeded,impeded
impel,impelled,impelled
impend,impended,impended
imperil,imperiled,imperiled
impersonate,impersonated,impersonated
impinge,impinged,impinged
implant,implanted,implanted
implement,implemented,implemented
implicate,implicated,implicated
implode,imploded,imploded
implore,implored,implored
imply,implied,implied
import,imported,imported
importune,importuned,importuned
impose,imposed,imposed
impoverish,impoverished,impoverished
imprecate,imprecated,imprecated
impregnate,impregnated,impregnated
imprint,imprinted,imprinted
imprison,imprisoned,imprisoned
improvise,improvised,improvised
impugn,impugned,impugned
impulse,impulsed,impulsed
impute,imputed,imputed
inaugurate,inaugurated,inaugurated
incapacitate,incapacitated,incapacitated
incarcerate,incarcerated,incarcerated
incarnate,incarnated,incarnated
incense,incensed,incensed
inch,inched,inched
incinerate,incinerated,incinerated
incise,incised,incised
incite,incited,incited
incline,inclined,inclined
incommode,incommoded,incommoded
inconvenience,inconvenienced,inconvenienced
incorporate,incorporated,incorporated
incriminate,incriminated,incriminated
incubate,incubated,incubated
inculcate,inculcated,inculcated
incur,incurred,incurred
indemnify,indemnified,indemnified
indent,indented,indented
index,indexed,indexed
indicate,indicated,indicated
indict,indicted,indicted
indoctrinate,indoctrinated,indoctrinated
induce,induced,induced
induct,inducted,inducted
indulge,indulged,indulged
industrialize,industrialized,industrialized
infatuate,infatuated,infatuated
infect,infected,infected
infer,inferred,inferred
infest,infested,infested
infiltrate,infiltrated,infiltrated
inflame,inflamed,inflamed
inflate,inflated,inflated
inflect,inflected,inflected
inflict,inflicted,inflicted
infringe,infringed,infringed
infuriate,infuriated,infuriated
infuse,infused,infused
ingest,ingested,ingested
ingrain,ingrained,ingrained
inhabit,inhabited,inhabited
inhale,inhaled,inhaled
inherit,inherited,inherited
inhibit,inhibited,inhibited
initial,initialed,initialed
initiate,initiated,initiated
innovate,innovated,innovated
inoculate,inoculated,inoculated
input,input,input